"fakecode";"fakelat";"fakelong"
"NE9 5UN";"54.942191056910545";"-1.5926666666666685"
"NE23 7RA";"55.0605529411765";"-1.5753843137254904"
"DH7 7LN";"54.778072538860094";"-1.6385544041450777"
"NE8 2NA";"54.95758536585371";"-1.6196341463414632"
"NE63 9FT";"55.180617747440266";"-1.5514436860068257"
"NE4 5EQ";"54.976814814814766";"-1.6327259259259252"
"NE17 7EP";"54.91385365853659";"-1.816286585365853"
"NE28 6QD";"54.99219875776398";"-1.5157950310559012"
"NE29 8DA";"55.02110416666658";"-1.4784218750000002"
"NE46 4EZ";"55.01172000000003";"-2.109462222222224"
"NE40 3HQ";"54.97291983122362";"-1.760852320675105"
"SR2 8LQ";"54.89768711656443";"-1.3715276073619638"
"NE28 8DW";"54.99778217821782";"-1.541584158415842"
"NE21 6PJ";"54.952376344086076";"-1.7264677419354852"
"DH1 5PJ";"54.79927018633548";"-1.5786055900621117"
"NE6 3NP";"54.97059459459465";"-1.5480864864864858"
"NE3 4XN";"55.002996226415185";"-1.6345622641509432"
"NE13 7BA";"55.04708450704226";"-1.6490492957746463"
"NE28 8DW";"54.99778217821782";"-1.541584158415842"
"NE17 7EP";"54.91385365853659";"-1.816286585365853"
"NE10 8XJ";"54.943603960396025";"-1.540504950495049"
"NE4 5EQ";"54.976814814814766";"-1.6327259259259252"
"DH4 7RF";"54.87312206572781";"-1.4940375586854473"
"NE46 2LT";"54.964542857142796";"-2.1206971428571433"
"NE7 7PL";"55.00011643835617";"-1.5787226027397256"
"NE15 7UB";"54.98154040404043";"-1.6920202020202024"
"NE6 5LJ";"54.986577981651415";"-1.5775825688073402"
"SR3 1PA";"54.885135036496365";"-1.404540145985402"
"NE46 2LT";"54.964542857142796";"-2.1206971428571433"
"NE8 4NP";"54.9511256281406";"-1.6065376884422125"
"NE6 5LJ";"54.986577981651415";"-1.5775825688073402"
"NE9 6TU";"54.931969594594555";"-1.5925675675675681"
"NE8 2NA";"54.95758536585371";"-1.6196341463414632"
"NE26 2AX";"55.04170454545464";"-1.441060606060606"
"NE10 9EF";"54.946990654205685";"-1.5684345794392536"
"NE21 4JS";"54.96493939393939";"-1.7251090909090907"
"NE6 1PL";"54.975515384615406";"-1.580915384615384"
"NE1 6PY";"54.9742804878049";"-1.5994268292682918"
"NE12 9RN";"55.021977777777735";"-1.554783333333334"
"NE10 8XJ";"54.943603960396025";"-1.540504950495049"
"NE15 7UB";"54.98154040404043";"-1.6920202020202024"
"NE28 6QD";"54.99219875776398";"-1.5157950310559012"
"NE40 3HQ";"54.97291983122362";"-1.760852320675105"
